news_document,science_document,news_tokens_idx,sci_token_idx,is_coreferent,task_type
news_366,science_245,17;18,40;41;42,yes,Subset
news_157,science_89,57;58,159;160;161;162;163,yes,Subset
news_162,science_319,41,146;147,yes,Subset
news_369,science_257,52;53;54;55;56,42;43;44,yes,Subset
news_607,science_562,89;90,83;84,yes,Subset
news_411,science_366,70,41,yes,Subset
news_411,science_366,20;21;22,173;174,yes,Subset
news_555,science_510,52;53,19;20;21;22,no,Subset
news_54,science_108,58;59;60;61;62,56,yes,Subset
news_411,science_366,20;21;22,185;186;187,yes,Subset
news_30,science_109,69,109,no,Subset
news_616,science_571,20,9;10,no,Subset
news_40,science_314,51;52,54;55;56;57,yes,Subset
news_411,science_366,48,8;9;10,yes,Subset
news_162,science_319,81;82;83;84;85;86,88;89;90;91,no,Subset
news_40,science_314,6;7;8,3;4,yes,Subset
news_162,science_319,61,115,yes,Subset
news_162,science_319,41,27;28,yes,Subset
news_54,science_108,36;37;38,21;22;23;24;25,yes,Subset
news_30,science_109,75;76;77,11;12;13;14,no,Subset
news_30,science_109,20;21,33,no,Subset
news_455,science_410,73;74,13;14,yes,Subset
news_40,science_314,58;59;60;61,42;43;44,yes,Subset
news_411,science_366,2;3,48;49;50;51,yes,Subset
news_30,science_109,39;40;41;42;43,109,no,Subset
news_411,science_366,48,48;49;50,yes,Subset
news_30,science_109,69,142;143,no,Subset
news_162,science_319,61,93;94;95;96;97;98;99,yes,Subset
news_411,science_366,20;21;22,150;151;152,no,Subset
news_30,science_109,39;40;41;42;43,215,no,Subset
news_30,science_109,42,142;143,no,Subset
news_411,science_366,2;3,173;174,yes,Subset
news_617,science_572,0;1;2;3,2;3,no,Subset
news_545,science_500,13;14;15;16,139;140,yes,Subset
news_586,science_541,35;36;37,91;92;93,no,Subset
news_336,science_143,3;4;5;6;7;8,80;81;82,no,Subset
news_563,science_518,41;42,228;229,yes,Subset
news_563,science_518,16;17;18,93;94,no,Subset
news_563,science_518,41;42,100,yes,Subset
news_150,science_107,51;52;53,99;100;101;102,no,Subset
news_54,science_108,40,142;143;144;145,no,Subset
news_30,science_109,69,218,no,Subset
news_366,science_245,34;35;36;37;38,100;101,no,Subset
news_30,science_109,20;21,57,yes,Subset
news_455,science_410,43;44;45;46,13;14,yes,Subset
news_162,science_319,41,0;1,yes,Subset
news_162,science_319,41,88;89;90;91,yes,Subset
news_30,science_109,42,218,no,Subset
news_545,science_500,18;19,14;15;16;17;18;19;20,yes,Subset
news_30,science_109,20;21,95;96;97;98;99,no,Subset
news_30,science_109,42,122;123;124;125,no,Subset
news_617,science_572,49,2;3,no,Subset
news_543,science_498,47,9;10;11,no,Subset
news_54,science_108,58;59;60;61;62,40;41,yes,Subset
news_411,science_366,20;21;22,0;1;2,yes,Subset
news_30,science_109,20;21,30;31,no,Subset
news_54,science_108,36;37;38,74;75;76,yes,Subset
