id,news_ent,sci_ent,Test Example,is_iaa,is_bad,similarity,created_at,updated_at,is_iaa_priority,news_article_id,sci_paper_id,is_bad_reason,is_bad_reported_at,is_bad_user_id,priority,is_difficult,is_difficult_reported_at,is_difficult_user_id
220722,CO2;213;216,CO2;398;401,,,,0.874617636203766,2020-05-30 07:34:54.546826,2020-05-30 07:34:54.54683,,563,518,,,,5,,,
130732,fatal brain injuries;96;116,fatal brain injuries;44;64,,,,0.872907876968384,2020-05-09 11:17:20.080918,2020-05-09 11:17:20.08092,,411,366,,,,5,,,
11,their songs;183;194,male mice ;979;989,,1,,0.871045589447022,,,1,370,262,,,,5,,,
108177,ammonia;173;180,Ammonia;788;795,,,,0.868321716785431,2020-05-09 09:05:41.308813,2020-05-09 09:05:41.308814,,40,314,,,,5,,,
94217,their ;499;505,well-preserved embryos;508;530,Anaphora,,,0.866256892681122,2020-05-09 09:05:27.643129,2020-05-09 09:05:27.64313,,162,319,,,,5,,,
108737,ammonia production;282;300,ammonia synthesis;36;53,,,,0.863918423652649,2020-05-09 09:05:41.310505,2020-05-09 09:05:41.310506,,40,314,,,,5,,,
100876, chemokines;250;261,Cells;203;208,,,,0.861825883388519,2020-05-09 09:05:33.909822,2020-05-09 09:05:33.909823,,30,109,,,,5,,,
220727,CO2;213;216,CO2;1150;1153,,,,0.861485779285431,2020-05-30 07:34:54.667171,2020-05-30 07:34:54.667181,,563,518,,,,5,,,
17,a wider range;214;227,a wider range;1141;1154,,,,0.859696090221405,,,,369,257,,,,5,,,
18,the Amazon’s upper Tapajós Basin;442;474,the Tapajós headwaters;401;423,,1,,0.859624326229095,,,,157,89,,,,5,1,2020-06-19 10:02:06.231643,5
237470,a home refrigerator;210;229,a household refrigerator system;377;408,,1,,0.856989085674286,2020-06-01 13:22:32.081268,2020-06-01 13:22:32.081274,,586,541,,,,5,,,
237520, Power consumption;188;206,R600a;276;281,,,,0.856162428855896,2020-06-01 13:22:33.227286,2020-06-01 13:22:33.227292,,586,541,,,,5,,,
22,the developing world;315;335,mobile phone infrastructure ;1434;1462,,,,0.856097102165222,,,,20,226,,,,5,,,
24,the Amazon;153;163,has limited the assessment of the territorial extent of earth-builders.;260;331,,,,0.855684101581574,,,,157,89,,,,5,,,
27,we can't assume that the results from experiments on their brains can be generalized to humans;17;111,the results;522;533,,,,0.852185487747192,,,,195,9,,,,5,,,
211990,Covid-19;237;245,asymptomatic;501;513,,1,,0.843196034431458,2020-05-30 07:23:38.150525,2020-05-30 07:23:38.150536,,555,510,,,,5,,,
111923,monarchs;207;215,monarchs;348;356,,,,0.842279076576233,2020-05-09 09:09:24.806525,2020-05-09 09:09:24.806526,,54,108,,,,5,,,
220739,CO2;213;216,CO2 emissions;343;356,,,,0.840977132320404,2020-05-30 07:34:54.953047,2020-05-30 07:34:54.953057,,563,518,,,,5,,,
221181,CO2 emissions;213;226,CO2;343;346,,,,0.83972954750061,2020-05-30 07:35:04.835404,2020-05-30 07:35:04.835415,,563,518,,,,5,,,
260805,The malaria drug hydroxychloroquine;0;35,Hydroxychloroquine;0;18,,1,,0.836925685405731,2020-06-05 07:49:30.100341,2020-06-05 07:49:30.100345,,617,572,,,,5,,,
130962,the long-term effects;234;255,The long-term effects;343;364,,,,0.835201919078827,2020-05-09 11:17:20.155367,2020-05-09 11:17:20.155369,,411,366,,,,5,,,
100990,chemokines;251;261,chemokines;657;667,,,,0.835117101669312,2020-05-09 09:05:33.910127,2020-05-09 09:05:33.910128,,30,109,,,,5,,,
202471,degenerating joint (articular) cartilage;647;687,articular cartilage tissue formation;747;783,,,,0.834815204143524,2020-05-23 14:11:38.057345,2020-05-23 14:11:38.05735,,543,498,,,,5,,,
108764,ammonia production;282;300,Ammonia synthesis;788;805,Paraphrasing,,,0.832668364048004,2020-05-09 09:05:41.310593,2020-05-09 09:05:41.310595,,40,314,,,,5,,,
260429, patients with Covid-19;274;297,severe Covid-19;52;67,,1,,0.831422805786133,2020-06-05 07:49:13.741796,2020-06-05 07:49:13.741801,,616,571,,,,5,,,
157602,multiple solitons;307;324,solitons;79;87,,,,0.829079270362854,2020-05-09 11:17:47.155579,2020-05-09 11:17:47.155581,,455,410,,,,5,,,
212005,Covid-19;237;245,COVID-19-positive patients;469;495,,,,0.827924013137817,2020-05-30 07:23:38.475731,2020-05-30 07:23:38.475742,,555,510,,,,5,,,
100941," releasing cytokines and chemokines,;226;262",multiple cytokines and chemokines;634;667,,,,0.827396154403687,2020-05-09 09:05:33.90999,2020-05-09 09:05:33.909991,,30,109,,,,5,,,
212201,Covid-19;410;418,asymptomatic;501;513,,,,0.826843917369843,2020-05-30 07:23:42.932135,2020-05-30 07:23:42.932143,,555,510,,,,5,,,
221225,CO2 emissions;213;226,daily CO2 emissions;1144;1163,,,,0.826343178749085,2020-05-30 07:35:05.849226,2020-05-30 07:35:05.84923,,563,518,,,,5,,,
130815,children;146;154,children;68;76,,,,0.825784027576447,2020-05-09 11:17:20.108659,2020-05-09 11:17:20.108661,,411,366,,,,5,,,
108478,The catalyst facilitates the synthesis of ammonia;131;180,The catalyst;433;445,,,,0.824270784854889,2020-05-09 09:05:41.309645,2020-05-09 09:05:41.309646,,40,314,,,,5,,,
221183,CO2 emissions;213;226,CO2;398;401,,,,0.824015200138092,2020-05-30 07:35:04.886302,2020-05-30 07:35:04.886312,,563,518,,,,5,,,
203635,two-dimensional framework;366;391,two-dimensional quantum computing architecture;81;127,Paraphrasing,,,0.823172450065613,2020-05-23 14:12:07.481372,2020-05-23 14:12:07.481379,,545,500,,,,5,,,
212136, had no symptoms.;418;437, 128 tested positive for COVID-19 ;211;245,,,,0.822983622550964,2020-05-30 07:23:41.408575,2020-05-30 07:23:41.408586,,555,510,,,,5,,,
58,male mice;117;126,that male mice;24;38,,,,0.822263538837433,,,,321,206,,,,5,,,
202454,degenerating joint (articular) cartilage;647;687,damaged articular cartilage;70;97,,,,0.82021564245224,2020-05-23 14:11:37.633743,2020-05-23 14:11:37.63375,,543,498,,,,5,,,
111913,monarchs;207;215,Monarchs acquired commercially;505;535,,,,0.8185915350914,2020-05-09 09:09:24.806499,2020-05-09 09:09:24.8065,,54,108,,,,5,,,
61, the brains of humans and macaque monkeys;253;294,a method;448;456,,1,,0.818478047847748,,,,195,80,,,,5,,,
220725,CO2;213;216,CO2;991;994,,,,0.818123281002045,2020-05-30 07:34:54.61257,2020-05-30 07:34:54.612579,,563,518,,,,5,,,
212076,cruise ships;329;341,affected cruise ships;582;603,,,,0.814967393875122,2020-05-30 07:23:40.077689,2020-05-30 07:23:40.0777,,555,510,,,,5,,,
157593,a circular resonator;250;270,a resonator;91;102,Paraphrasing,,,0.814965605735779,2020-05-09 11:17:47.152873,2020-05-09 11:17:47.152875,,455,410,,,,5,,,
203638,two-dimensional framework;366;391,two-dimensional array of live qubits;683;719,,,,0.814685821533203,2020-05-23 14:12:07.55308,2020-05-23 14:12:07.553093,,545,500,,,,5,,,
67,Triceratops is a juvenile form;44;74,the adult form;313;327,,,,0.814354062080383,,,,314,251,,,,5,,,
101249, cytokines;405;415,Most cytokines;842;856,Subset,,,0.81386524438858,2020-05-09 09:05:33.91079,2020-05-09 09:05:33.910791,,30,109,,,,5,,,
71,Triceratops;44;55,Triceratops;330;341,,,,0.811674654483795,,,,314,243,,,,5,,,
212205,Covid-19;410;418,complete COVID-19 testing;53;78,,,,0.811487555503845,2020-05-30 07:23:43.022363,2020-05-30 07:23:43.022375,,555,510,,,,5,,,
76,men;137;140,men;920;923,,,,0.810306906700134,,,,369,257,,,,5,,,
152941,materials;320;329,materials;1850;1859,,,,0.809196174144745,2020-05-09 11:17:42.631393,2020-05-09 11:17:42.631395,,446,401,,,,5,,,
260432, patients with Covid-19;274;297,SARS-CoV-2 infected patients;160;188,Paraphrasing,1,,0.80901700258255,2020-06-05 07:49:13.886361,2020-06-05 07:49:13.886365,,616,571,,,,5,,,
130516,under two;129;138,children ;68;77,,,,0.808964788913727,2020-05-09 11:17:19.990362,2020-05-09 11:17:19.990365,,411,366,,,,5,,,
212216,Covid-19;410;418,COVID-19-positive patients;469;495,,,,0.8085036277771,2020-05-30 07:23:43.272942,2020-05-30 07:23:43.272947,,555,510,,,,5,,,
221195,CO2 emissions;213;226,CO2;1150;1153,,,,0.806650996208191,2020-05-30 07:35:05.146286,2020-05-30 07:35:05.146297,,563,518,,,,5,,,
100948," releasing cytokines and chemokines,;226;262",Most cytokines;842;856,,,,0.806135058403015,2020-05-09 09:05:33.910007,2020-05-09 09:05:33.910008,,30,109,,,,5,,,
108209, 50 °C;190;196,50;487;489,,,,0.80531507730484,2020-05-09 09:05:41.308895,2020-05-09 09:05:41.308896,,40,314,,,,5,,,
157608,the resonator;343;356,a resonator;91;102,,,,0.805021226406097,2020-05-09 11:17:47.157324,2020-05-09 11:17:47.157326,,455,410,,,,5,,,
259870,Covid-19;118;126,severe Covid-19;52;67,Subset,1,,0.804310739040375,2020-06-05 07:48:50.505768,2020-06-05 07:48:50.505776,,616,571,,,,5,,,
221211,CO2 emissions;213;226, emissions;401;411,,,,0.803852736949921,2020-05-30 07:35:05.515748,2020-05-30 07:35:05.515754,,563,518,,,,5,,,
157614,soliton ;412;420,solitons;79;87,,,,0.802462100982666,2020-05-09 11:17:47.15907,2020-05-09 11:17:47.159072,,455,410,,,,5,,,
93772,embryos;209;216,embryos;807;814,,,,0.802374660968781,2020-05-09 09:05:27.641757,2020-05-09 09:05:27.641758,,162,319,,,,5,,,
211985,Covid-19;237;245,COVID-19;288;296,,,,0.801803886890411,2020-05-30 07:23:38.039082,2020-05-30 07:23:38.039092,,555,510,,,,5,,,
94,the carnivore's skull;115;136,any mammalian carnivore;468;491,,,,0.799081683158875,,,,336,143,,,,5,,,
94122,the embryos;462;473,embryos;807;814,,,,0.798303067684174,2020-05-09 09:05:27.642886,2020-05-09 09:05:27.642887,,162,319,,,,5,,,
204227,a two-dimensional framework;364;391,a two-dimensional quantum computing architecture;79;127,Paraphrasing,,,0.797877013683319,2020-05-23 14:12:21.385498,2020-05-23 14:12:21.385508,,545,500,,,,5,,,
153187,The microstructure;594;612,the microstructure;649;667,,,,0.797383010387421,2020-05-09 11:17:42.7068,2020-05-09 11:17:42.706802,,446,401,,,,5,,,
211994,Covid-19;237;245,complete COVID-19 testing;53;78,,,,0.796673953533173,2020-05-30 07:23:38.241511,2020-05-30 07:23:38.241514,,555,510,,,,5,,,
99, genetic factors;61;77,the same genes;119;133,,,,0.796504318714142,,,,97,98,,,,5,,,
202477,degenerating joint (articular) cartilage;647;687,hypertrophic chondrocytes;917;942,,,,0.795915365219116,2020-05-23 14:11:38.220551,2020-05-23 14:11:38.220562,,543,498,,,,5,,,
204250,a two-dimensional framework;364;391,three-dimensional models ;645;670,,,,0.79587459564209,2020-05-23 14:12:21.895572,2020-05-23 14:12:21.895583,,545,500,,,,5,,,
102,so-called Neptunian objects;244;271,trans-Neptunian dwarf planets;29;58,Subset,,,0.795403599739075,,,,143,54,,,,5,,,
237501,a home refrigerator;210;229,the household refrigerator;1137;1163,,,,0.794950067996979,2020-06-01 13:22:32.78466,2020-06-01 13:22:32.784664,,586,541,,,,5,,,
104,e-cigarettes;54;66,E-cigarette smoke;0;17,,,,0.794373273849487,,,,150,107,,,,5,,,
153289,the different materials;642;665,different materials;117;136,,,,0.793881952762604,2020-05-09 11:17:42.736551,2020-05-09 11:17:42.736553,,446,401,,,,5,,,
130636,Abusive head trauma;10;29,abusive head trauma;368;387,,,,0.791483581066132,2020-05-09 11:17:20.051373,2020-05-09 11:17:20.051376,,411,366,,,,5,,,
212196,Covid-19;410;418,COVID-19;288;296,,,,0.7912677526474,2020-05-30 07:23:42.82244,2020-05-30 07:23:42.822451,,555,510,,,,5,,,
113, comparing the human and monkey brains;174;212,the human brain;73;88,,,,0.790811717510223,,,,195,9,,,,5,,,
108772,ammonia production;282;300,catalytic ammonia synthesis;1002;1029,,,,0.790490508079529,2020-05-09 09:05:41.310634,2020-05-09 09:05:41.310635,,40,314,,,,5,,,
202486,degenerating joint (articular) cartilage;647;687,better quality articular cartilage-like tissue production;1155;1212,,,,0.789546430110931,2020-05-23 14:11:38.444573,2020-05-23 14:11:38.444581,,543,498,,,,5,,,
116,creation of island Britain;357;383,island Britain;927;941,,,,0.78906261920929,,,,119,59,,,,5,,,
157637,soliton physics;516;531,solitons;79;87,,,,0.788441598415375,2020-05-09 11:17:47.165762,2020-05-09 11:17:47.165764,,455,410,,,,5,,,
202455,degenerating joint (articular) cartilage;647;687,stem cell-derived chondrocyte hypertrophy;113;154,,,,0.787935972213745,2020-05-23 14:11:37.683511,2020-05-23 14:11:37.683521,,543,498,,,,5,,,
130866, AHT;258;262,permanent neurological damage;263;292,Subset,,,0.787697434425354,2020-05-09 11:17:20.124845,2020-05-09 11:17:20.124847,,411,366,,,,5,,,
120, higher levels of cholesterol ;163;193,increased risks;719;734,,,,0.786844730377197,,,,303,79,,,,5,,,
101242, cytokines;405;415,multiple cytokines and chemokines;634;667,,,,0.784765779972076,2020-05-09 09:05:33.910772,2020-05-09 09:05:33.910773,,30,109,,,,5,,,
127,the Amazon’s upper Tapajós Basin;442;474,large geometrical earthworks ;17;46,,,,0.783455491065979,,,,157,89,,,,5,,,
259873,Covid-19;118;126,SARS-CoV-2 infected patients;160;188,,1,,0.782845616340637,2020-06-05 07:48:50.62454,2020-06-05 07:48:50.624542,,616,571,,,,5,,,
108571,merely 50 °C;184;196,50 °C;107;112,,,,0.781096756458283,2020-05-09 09:05:41.309969,2020-05-09 09:05:41.30997,,40,314,,,,5,,,
152715,they advance our understanding;243;273,they;808;812,Anaphora,,,0.780947148799896,2020-05-09 11:17:42.564096,2020-05-09 11:17:42.564098,,446,401,,,,5,,,
157582,solitons;193;201,solitons;79;87,,,,0.778481364250183,2020-05-09 11:17:47.149551,2020-05-09 11:17:47.149553,,455,410,,,,5,,,
203788,error-correcting code;69;90,a quantum error-correcting code;215;246,Paraphrasing,,,0.778201758861542,2020-05-23 14:12:11.011273,2020-05-23 14:12:11.011279,,545,500,,,,5,,,
211878,its prevalence;136;150,the prevalence;552;566,Anaphora,,,0.777291655540466,2020-05-30 07:23:35.60887,2020-05-30 07:23:35.608881,,555,510,,,,5,,,
145,some behavioural and brain mechanisms;226;263, this social communication behavior;115;150,Subset,,,0.776277959346771,,,,370,262,,,,5,,,
260434, patients with Covid-19;274;297, Covid-19 ;232;242,,1,,0.774422466754913,2020-06-05 07:49:14.004119,2020-06-05 07:49:14.004125,,616,571,,,,5,,,
149,the Amazon’s upper Tapajós Basin;442;474,has limited the assessment of the territorial extent of earth-builders.;260;331,,1,,0.774405896663666,,,,157,89,,,,5,,,
220751,CO2;213;216,daily CO2 emissions;1144;1163,,,,0.773394525051117,2020-05-30 07:34:55.22573,2020-05-30 07:34:55.22574,,563,518,,,,5,,,
151, the brains of humans and macaque monkeys;253;294,This novel framework;1013;1033,,1,,0.772580802440643,,,,195,80,,,,5,,,
260815,Covid-19 ;52;61,"this double-blind, randomized trial;47;82",,1,,0.771710455417633,2020-06-05 07:49:30.532074,2020-06-05 07:49:30.532078,,617,572,,,,5,,,
94099,the embryos;462;473,dinosaur embryos;162;178,,,,0.770735561847687,2020-05-09 09:05:27.642782,2020-05-09 09:05:27.642783,,162,319,,,,5,,,
221193,CO2 emissions;213;226,CO2;991;994,,,,0.770599007606506,2020-05-30 07:35:05.099997,2020-05-30 07:35:05.100008,,563,518,,,,5,,,
201946,to synergistically form functional joint cartilage;154;204,damaged articular cartilage;70;97,,,,0.770260274410248,2020-05-23 14:11:25.350082,2020-05-23 14:11:25.350092,,543,498,,,,5,,,
153147, The microstructure;593;612,novel wave characteristics;1266;1292,,,,0.768963992595673,2020-05-09 11:17:42.695159,2020-05-09 11:17:42.695162,,446,401,,,,5,,,
163, comparing the human and monkey brains;174;212,monkey and human activation maps;92;124,Paraphrasing,,,0.768334567546845,,,,195,80,,,,5,,,
204229,a two-dimensional framework;364;391,a fault-tolerant non-Clifford gate;157;191,,,,0.767516672611237,2020-05-23 14:12:21.432265,2020-05-23 14:12:21.432271,,545,500,,,,5,,,
260327,respiratory failure;252;271,Respiratory failure;12;31,,1,,0.767195284366608,2020-06-05 07:49:09.322475,2020-06-05 07:49:09.322479,,616,571,,,,5,,,
101417, the tumor;476;486,the tumor environment;1321;1342,,,,0.766022443771362,2020-05-09 09:05:33.911217,2020-05-09 09:05:33.911218,,30,109,,,,5,,,
167, a genetic mutation;23;42,The impressive neuronal diversity;0;33,Paraphrasing,,,0.765334069728851,,,,210,5,,,,5,,,
157620,optical microresonators;434;457,a resonator;91;102,Subset,,,0.765149831771851,2020-05-09 11:17:47.160813,2020-05-09 11:17:47.160815,,455,410,,,,5,,,
259875,Covid-19;118;126, Covid-19 ;232;242,,1,,0.764408826828003,2020-06-05 07:48:50.718119,2020-06-05 07:48:50.718124,,616,571,,,,5,,,
260312, respiratory failure ;251;272,higher risk;1357;1368,,1,,0.763488590717316,2020-06-05 07:49:08.719172,2020-06-05 07:49:08.719175,,616,571,,,,5,,,
237527, Power consumption;188;206,R600a;436;441,,,,0.763226211071014,2020-06-01 13:22:33.462711,2020-06-01 13:22:33.462718,,586,541,,,,5,,,
170,reduced;510;517, double-blind controlled trial;579;658,,,,0.763216137886047,,,,372,232,,,,5,,,
212002,Covid-19;237;245,the COVID-19-positive patients;284;314,,1,,0.762943804264069,2020-05-30 07:23:38.411784,2020-05-30 07:23:38.411794,,555,510,,,,5,,,
108180,ammonia;173;180,ammonia synthesis;36;53,,,,0.762733995914459,2020-05-09 09:05:41.308821,2020-05-09 09:05:41.308822,,40,314,,,,5,,,
201963,to synergistically form functional joint cartilage;154;204,articular cartilage tissue formation;747;783,Paraphrasing,,,0.760965585708618,2020-05-23 14:11:25.777394,2020-05-23 14:11:25.777403,,543,498,,,,5,,,
180,the four outer planets;169;191,trans-Neptunian dwarf planets;29;58,Anaphora,1,,0.760608971118927,,,,143,54,,,,5,,,
101246, cytokines;405;415,Starvation-induced cytokines;728;756,,,,0.759586870670319,2020-05-09 09:05:33.910782,2020-05-09 09:05:33.910783,,30,109,,,,5,,,
130631,Abusive head trauma;10;29," permanent neurological damage,;262;293",Subset,,,0.759515762329102,2020-05-09 11:17:20.049869,2020-05-09 11:17:20.049871,,411,366,,,,5,,,
204249,a two-dimensional framework;364;391,These decoding algorithms allow us to draw upon the advantages of three-dimensional models using only a two-dimensional array of live qubits;579;719,,,,0.759449005126953,2020-05-23 14:12:21.8747,2020-05-23 14:12:21.874711,,545,500,,,,5,,,
108860,reduced greenhouse gas emission;333;364,zero CO2 emissions;209;227,Subset,,,0.758079051971435,2020-05-09 09:05:41.310929,2020-05-09 09:05:41.31093,,40,314,,,,5,,,
190,carnitine supplements;288;309,Chronic dietary L-carnitine supplementation;908;951,Paraphrasing,,,0.757960796356201,,,,303,79,,,,5,,,
237435, a home refrigerator;209;229,power consumption;869;886,,,,0.757205188274383,2020-06-01 13:22:31.301509,2020-06-01 13:22:31.30152,,586,541,,,,5,,,
130619,Abusive head trauma;10;29,Abusive head trauma;0;19,,,,0.756983518600464,2020-05-09 11:17:20.045484,2020-05-09 11:17:20.045487,,411,366,,,,5,,,
201813,The biomaterials-based high-throughput screening approach;0;57,using engineered biomaterials and a high-throughput system for screening of combinatorial cues ;235;330,,,,0.756944715976715,2020-05-23 14:11:22.084179,2020-05-23 14:11:22.08419,,543,498,,,,5,,,
130646,Abusive head trauma;10;29,abusive head trauma;856;875,,,,0.75649881362915,2020-05-09 11:17:20.054609,2020-05-09 11:17:20.054611,,411,366,,,,5,,,
203606,that operates in three-dimensions;327;360,three;645;650,,,,0.756441116333008,2020-05-23 14:12:06.775646,2020-05-23 14:12:06.775651,,545,500,,,,5,,,
196,American airports;32;49,several international airports;495;525,Subset,,,0.756248652935028,,,,366,245,,,,5,,,
131161, brain;402;408,permanent neurological damage;263;292,,,,0.755956530570984,2020-05-09 11:17:20.22725,2020-05-09 11:17:20.227252,,411,366,,,,5,,,
202461,degenerating joint (articular) cartilage;647;687,cartilage microenvironments;333;360,,,,0.755517899990082,2020-05-23 14:11:37.838839,2020-05-23 14:11:37.838843,,543,498,,,,5,,,
201812,The biomaterials-based high-throughput screening approach;0;57,cartilage;333;342,,,,0.755441784858704,2020-05-23 14:11:22.062047,2020-05-23 14:11:22.062058,,543,498,,,,5,,,
253187,NiMH;130;134,NiMH;547;551,,1,,0.755179166793823,2020-06-05 07:44:13.492322,2020-06-05 07:44:13.492324,,607,562,,,,5,,,
130933,disability;222;232,disability;331;341,,,,0.754672944545746,2020-05-09 11:17:20.146209,2020-05-09 11:17:20.14621,,411,366,,,,5,,,
203,theory;395;401,the fossil evidence;796;815,,,,0.754526793956757,,,,314,251,,,,5,,,
206,songbirds and humans;296;316,song-learning birds;11;30,,,,0.753623783588409,,,,370,262,,,,5,,,
260772,821;84;87,821;84;87,,1,,0.752954542636871,2020-06-05 07:49:28.768071,2020-06-05 07:49:28.768075,,617,572,,,,5,,,
208,so-called Neptunian objects;244;271,trans-Neptunian an opacity;1332;1358,Paraphrasing,,,0.752774894237518,,,,143,54,,,,5,,,
254289,mechanical washing;544;562,The mechanical treatment;1502;1526,Paraphrasing,1,,0.752360939979553,2020-06-05 07:44:57.703361,2020-06-05 07:44:57.703371,,607,562,,,,5,,,
210,Australia;18;27,Australia;49;58,,,,0.752231478691101,,,,322,4,,,,5,,,
211,an add-on to a mobile phone;55;82,a mobile phone-mounted light microscope;582;621,Anaphora,,,0.751903474330902,,,,20,226,,,,5,,,
212,168 people;425;435,168 participants;1241;1257,Subset,,,0.751834571361542,,,,372,232,,,,5,,,
215,GCSE results;29;41, genetic ;254;263,,1,,0.751101434230804,,,,97,98,,,,5,,,
216,The adult mammalian brain;220;245, newly born granule cells;614;639,,,,0.751014590263367,,,,197,244,,,,5,,,
260001,the coronavirus;150;165,the SARS-CoV-2 pandemic;320;343,Anaphora,,,0.750907778739929,2020-06-05 07:48:55.853042,2020-06-05 07:48:55.853046,,616,571,,,,5,,,
101419, the tumor;476;486, tumor ;1371;1378,,,,0.750830709934235,2020-05-09 09:05:33.911223,2020-05-09 09:05:33.911224,,30,109,,,,5,,,
111533,less likely to reach Mexico;341;368,an open question;365;381,,,,0.750293612480164,2020-05-09 09:09:24.805491,2020-05-09 09:09:24.805492,,54,108,,,,5,,,
201977,to synergistically form functional joint cartilage;154;204,better quality articular cartilage-like tissue production;1155;1212,,,,0.749807178974152,2020-05-23 14:11:26.099647,2020-05-23 14:11:26.099658,,543,498,,,,5,,,
130650,Abusive head trauma;10;29,abusive head trauma;1072;1091,,,,0.749626696109772,2020-05-09 11:17:20.055867,2020-05-09 11:17:20.055869,,411,366,,,,5,,,
108695,existing techniques;233;252,conventional catalysts;584;606,Anaphora,,,0.749614238739014,2020-05-09 09:05:41.310387,2020-05-09 09:05:41.310388,,40,314,,,,5,,,
253575,a new study;148;159,this study;456;466,,,,0.749533295631409,2020-06-05 07:44:29.017571,2020-06-05 07:44:29.01758,,607,562,,,,5,,,
259877,Covid-19;118;126,the SARS-CoV-2 pandemic;320;343,,,,0.749041497707367,2020-06-05 07:48:50.813054,2020-06-05 07:48:50.813061,,616,571,,,,5,,,
204235,a two-dimensional framework;364;391,higher-dimensional components;325;354,,,,0.748277306556702,2020-05-23 14:12:21.569024,2020-05-23 14:12:21.569033,,545,500,,,,5,,,
100945," releasing cytokines and chemokines,;226;262",Starvation-induced cytokines;728;756,,,,0.748056292533875,2020-05-09 09:05:33.91,2020-05-09 09:05:33.910001,,30,109,,,,5,,,
220740,CO2;213;216, emissions;401;411,,,,0.747283399105072,2020-05-30 07:34:54.975207,2020-05-30 07:34:54.975218,,563,518,,,,5,,,
212213,Covid-19;410;418,the COVID-19-positive patients;284;314,,,,0.746449291706085,2020-05-30 07:23:43.208656,2020-05-30 07:23:43.208667,,555,510,,,,5,,,
108202,ammonia;173;180,Ammonia synthesis;788;805,,,,0.74621444940567,2020-05-09 09:05:41.308877,2020-05-09 09:05:41.308878,,40,314,,,,5,,,
254098,the study;455;464,this study;456;466,,,,0.745945274829865,2020-06-05 07:44:50.025963,2020-06-05 07:44:50.02597,,607,562,,,,5,,,
234,a new technique for reprogramming cells ;33;73,mouse embryonic and postnatal fibroblasts;742;783,,,,0.745835781097412,,,,194,29,,,,5,,,
253816,new battery production;268;290,this ;1641;1646,Anaphora,,,0.745340585708618,2020-06-05 07:44:38.716919,2020-06-05 07:44:38.716929,,607,562,,,,5,,,
101322,new blood vessels;446;463,the local blood supply;78;100,Subset,1,,0.745255768299103,2020-05-09 09:05:33.910975,2020-05-09 09:05:33.910976,,30,109,,,,5,,,
236,a giant short-faced bear;27;51,is less well-adapted to dispatch large prey ;839;883,,1,,0.744964897632599,,,,336,143,,,,5,,,
220859, soon;232;237,the decrease;327;339,,,,0.74448436498642,2020-05-30 07:34:57.612457,2020-05-30 07:34:57.612467,,563,518,,,,5,,,
